index,DR Number,Date Occurred,Time Occurred,latitude,longitude
929,120211564,2012-05-21,18:15,34.071,-118.2759
937,120208205,2012-03-19,08:45,34.0707,-118.2693
944,120209005,2012-03-27,12:10,34.0703,-118.268
947,120209724,2012-04-16,13:00,34.0693,-118.2687
954,120208853,2012-03-29,21:15,34.0763,-118.2917
958,120208039,2012-03-15,15:10,34.064,-118.2505
971,120209411,2012-04-09,14:20,34.0632,-118.2513
974,120207578,2012-03-06,15:30,34.079,-118.2981
977,120210460,2012-04-29,20:10,34.0836,-118.2917
978,120208156,2012-03-18,02:05,34.0729,-118.2664
981,120210684,2012-05-03,14:39,34.0717,-118.2671
983,120209696,2012-04-15,02:00,34.0667,-118.2546
985,120212207,2012-06-01,22:00,34.0836,-118.295
986,120210780,2012-05-05,03:10,34.0647,-118.2539
997,120212599,2012-06-09,12:00,34.0724,-118.2666
998,120212792,2012-06-11,11:00,34.0746,-118.284
999,120212033,2012-05-30,15:30,34.0777,-118.2932
1005,120210916,2012-04-23,13:30,34.0763,-118.2917
1007,120213409,2012-06-19,08:00,34.064,-118.2505
1010,120207305,2012-03-01,16:30,34.0703,-118.268
1016,120211418,2012-05-19,02:25,34.071,-118.2759
1017,120208583,2012-03-25,23:05,34.0791,-118.2917
1019,120208041,2012-03-15,17:15,34.0737,-118.2659
1021,120209607,2012-04-13,08:00,34.0763,-118.2917
1025,120209186,2012-04-04,18:00,34.0737,-118.2659
1029,120210001,2012-04-20,16:30,34.0764,-118.2892
1047,120210647,2012-05-02,21:50,34.0777,-118.2917
1053,120211820,2012-05-26,12:40,34.0806,-118.2843
1058,120212451,2012-06-07,05:55,34.0737,-118.2775
1060,120211667,2012-05-23,19:15,34.079,-118.2967
1066,120212118,2012-06-01,11:10,34.0706,-118.2614
1068,120209496,2012-04-10,16:30,34.0749,-118.2802
1070,120208735,2012-03-27,17:50,34.076,-118.2737
1073,120211861,2012-05-27,06:15,34.0687,-118.2672
1076,120209255,2012-04-06,16:20,34.0686,-118.2629
1081,120211704,2012-05-24,15:45,34.0777,-118.2917
1082,120207774,2012-03-11,01:15,34.0706,-118.2614
1085,120212528,2012-06-08,06:10,34.0652,-118.2492
1088,120212186,2012-06-02,15:05,34.0632,-118.2513
1092,120209461,2012-04-10,10:30,34.0798,-118.2868
1095,120212384,2012-06-05,14:20,34.0693,-118.2687
1099,120210535,2012-04-28,21:20,34.0703,-118.268
1101,120210257,2012-04-24,21:50,34.0836,-118.2917
1103,120211032,2012-05-10,11:00,34.0721,-118.2735
1104,120211454,2012-05-19,20:25,34.0836,-118.2992
1106,120207322,2012-03-01,21:00,34.0836,-118.2917
1108,120212860,2012-06-13,23:59,34.0652,-118.2492
1109,120211485,2012-05-19,21:00,34.0727,-118.2597
1115,120209782,2012-04-16,13:15,34.0703,-118.268
1120,120212596,2012-06-08,21:30,34.0717,-118.2671
1121,120213108,2012-06-19,12:15,34.071,-118.2759
1129,120208138,2012-03-17,10:50,34.0716,-118.2719
1132,120212016,2012-05-30,07:45,34.0818,-118.2917
1139,120208553,2012-03-24,23:20,34.0689,-118.2532
1142,120213548,2012-06-26,19:30,34.0767,-118.2707
2022,120408721,2012-04-20,21:50,34.0431,-118.2185
2028,120410348,2012-05-28,17:05,34.0455,-118.215
2046,120410741,2012-06-09,10:50,34.0819,-118.2204
2066,120406767,2012-03-05,08:25,34.043,-118.2217
2067,120407216,2012-03-15,19:00,34.092,-118.204
2072,120411469,2012-06-21,20:30,34.0449,-118.2137
2079,120409972,2012-05-21,11:00,34.0432,-118.2176
2086,120411215,2012-06-20,19:40,34.0428,-118.2167
2096,120407489,2012-03-22,15:00,34.0417,-118.2142
2113,120409543,2012-05-11,06:20,34.0466,-118.2174
2121,120408339,2012-04-12,18:40,34.0428,-118.2167
2124,120408010,2012-04-04,09:45,34.0578,-118.2102
2131,120409082,2012-04-30,13:05,34.0449,-118.2137
2133,120408511,2012-04-17,12:30,34.0814,-118.2257
2138,120408666,2012-04-19,15:50,34.0391,-118.2174
2146,120406847,2012-03-07,15:25,34.0417,-118.2142
2149,120406775,2012-03-05,08:20,34.043,-118.2217
2170,120408805,2012-04-23,15:00,34.0462,-118.2198
2178,120406761,2012-03-01,14:00,34.0578,-118.2102
2183,120407581,2012-03-24,01:15,34.0423,-118.2155
2196,120407020,2012-03-11,09:30,34.093,-118.2058
2223,120407627,2012-03-25,11:40,34.0423,-118.2155
2224,120409118,2012-05-01,15:05,34.0541,-118.2126
2238,120409941,2012-05-20,15:00,34.0417,-118.2142
2244,120410452,2012-06-01,07:30,34.0606,-118.2144
2259,120407665,2012-03-25,10:35,34.0578,-118.2102
2270,120407273,2012-03-17,08:05,34.0423,-118.2155
2285,120408219,2012-04-10,21:25,34.0578,-118.2102
2295,120410881,2012-06-12,23:05,34.044,-118.2143
2329,120407707,2012-03-27,14:00,34.0455,-118.215
2330,120406826,2012-03-06,17:55,34.0415,-118.2136
2351,120411430,2012-06-26,15:50,34.043,-118.2217
2354,120407334,2012-03-19,12:00,34.0578,-118.2102
2356,120407028,2012-03-11,17:45,34.0431,-118.2196
2380,120407545,2012-03-23,09:40,34.0586,-118.2118
2385,120409619,2012-05-13,16:30,34.0431,-118.2196
2387,120408338,2012-04-12,18:30,34.0589,-118.2126
2392,120409235,2012-05-04,13:10,34.0819,-118.2204
2397,120409854,2012-05-18,08:30,34.0431,-118.2196
2405,120407434,2012-03-21,13:40,34.0428,-118.2167
2420,120409539,2012-05-11,11:00,34.0578,-118.2102
2424,120406730,2012-03-04,08:05,34.0541,-118.2126
2437,120410191,2012-05-25,13:30,34.0449,-118.2137
2455,120406768,2012-03-05,09:02,34.0417,-118.2142
2476,120408601,2012-04-18,16:40,34.0819,-118.2204
2478,120407987,2012-04-02,12:00,34.0578,-118.2102
2486,120408758,2012-04-21,18:30,34.0578,-118.2102
2487,120406832,2012-03-07,08:10,34.0462,-118.2198
2495,120609053,2012-03-07,21:05,34.1053,-118.3213
3064,120610135,2012-03-22,13:50,34.0981,-118.3158
3074,120612511,2012-04-07,09:00,34.1039,-118.3311
3080,120609640,2012-03-14,11:10,34.0929,-118.3092
3085,120611339,2012-04-08,08:00,34.1016,-118.3252
3088,120608559,2012-03-01,08:50,34.1053,-118.3224
3094,120609851,2012-03-17,05:45,34.1016,-118.3252
3096,120611517,2012-04-08,09:30,34.1017,-118.3158
3102,120609164,2012-03-09,16:20,34.0919,-118.3092
3107,120609957,2012-03-19,08:20,34.1053,-118.3321
3109,120611542,2012-04-11,16:50,34.0863,-118.3051
3118,120610589,2012-03-27,11:35,34.0908,-118.307
3120,120611753,2012-04-14,00:01,34.111,-118.3325
3121,120610250,2012-03-23,23:20,34.1112,-118.3358
3124,120609729,2012-03-15,08:50,34.0948,-118.3114
3131,120610518,2012-03-27,09:15,34.1078,-118.3308
3151,120609210,2012-03-10,03:10,34.0908,-118.307
3154,120610130,2012-03-21,18:40,34.1017,-118.3158
3158,120609335,2012-03-11,08:55,34.1053,-118.3252
3159,120611821,2012-04-15,06:15,34.104,-118.3297
3162,120612490,2012-04-13,13:00,34.0867,-118.3091
3168,120611748,2012-04-14,01:00,34.0981,-118.3197
3185,120609937,2012-03-18,00:10,34.1016,-118.3252
3197,120611206,2012-04-07,02:20,34.1054,-118.3137
3203,120611670,2012-04-13,04:00,34.0981,-118.3092
3205,120610972,2012-04-02,09:40,34.1054,-118.3137
3210,120612516,2012-04-24,16:35,34.0836,-118.3051
3213,120612287,2012-04-21,13:55,34.0908,-118.307
3220,120609152,2012-03-08,13:20,34.1274,-118.345
3222,120610859,2012-03-31,23:55,34.1115,-118.3331
3226,120610410,2012-03-24,21:40,34.0919,-118.3092
3229,120609850,2012-03-17,10:00,34.0938,-118.3136
3242,120609849,2012-03-17,11:30,34.131,-118.3452
3245,120612646,2012-04-27,00:20,34.0908,-118.3092
3251,120611256,2012-04-07,21:35,34.1053,-118.3252
3253,120610018,2012-03-17,19:20,34.1038,-118.3267
3259,120610876,2012-03-31,22:30,34.1017,-118.3123
3262,120611456,2012-04-10,14:15,34.0981,-118.3092
3266,120611769,2012-04-14,01:00,34.1017,-118.3167
3269,120609929,2012-03-18,20:05,34.0939,-118.3092
3274,120612728,2012-04-21,21:20,34.1112,-118.3358
3287,120611820,2012-04-14,21:45,34.0864,-118.3059
3292,120612152,2012-04-19,19:00,34.0981,-118.3109
3305,120608675,2012-03-02,02:35,34.1115,-118.3331
3311,120612439,2012-04-22,15:25,34.1016,-118.3252
3317,120610387,2012-03-25,13:50,34.0919,-118.3092
3321,120612770,2012-04-29,10:00,34.0908,-118.3109
3324,120609348,2012-03-11,01:55,34.1016,-118.3267
3325,120609938,2012-03-18,03:15,34.1038,-118.3267
3328,120610138,2012-03-19,20:45,34.104,-118.3297
3330,120610957,2012-03-31,21:45,34.0981,-118.3197
3332,120608851,2012-03-05,14:00,34.1235,-118.3416
3334,120610954,2012-04-01,19:00,34.0981,-118.3109
3335,120610096,2012-03-21,08:35,34.1053,-118.3252
3344,120611959,2012-04-17,12:20,34.0885,-118.3092
3353,120611760,2012-04-06,01:30,34.0908,-118.3092
3359,120610494,2012-03-26,18:00,34.1053,-118.3192
3371,120610740,2012-03-30,15:50,34.1052,-118.3267
3373,120612721,2012-04-27,03:45,34.1017,-118.3224
3375,120612752,2012-04-29,02:00,34.1038,-118.3267
3381,120612289,2012-04-21,13:00,34.0981,-118.3092
3388,120610861,2012-04-01,06:45,34.0908,-118.3092
3389,120610778,2012-03-31,02:00,34.1053,-118.3321
3390,120612674,2012-04-27,15:45,34.0981,-118.3136
3398,120612404,2012-04-23,13:55,34.0928,-118.3136
3400,120609320,2012-03-11,10:09,34.1038,-118.3267
3402,120609812,2012-03-17,02:55,34.1111,-118.3326
3403,120608686,2012-03-02,23:15,34.0981,-118.3158
3404,120612096,2012-04-19,01:30,34.0981,-118.3093
3407,120610880,2012-03-31,11:20,34.1017,-118.318
3408,120608734,2012-03-03,16:55,34.0908,-118.306
3410,120609747,2012-03-15,20:55,34.0836,-118.3051
3413,120609524,2012-03-13,11:20,34.0836,-118.3016
3416,120611338,2012-04-08,02:30,34.0908,-118.3092
3423,120612428,2012-04-23,11:20,34.1053,-118.324
3434,120609939,2012-03-18,21:10,34.1017,-118.3224
3436,120612686,2012-04-27,21:15,34.095,-118.307
3438,120610528,2012-03-27,14:20,34.0981,-118.3092
3439,120612336,2012-04-21,17:00,34.0981,-118.3158
3440,120608598,2012-03-01,23:00,34.1016,-118.3267
3446,120610519,2012-03-26,18:00,34.0908,-118.3092
3447,120611196,2012-04-06,22:00,34.104,-118.3297
3451,120609596,2012-03-14,08:20,34.0836,-118.3016
3453,120611376,2012-04-08,02:05,34.1053,-118.3224
3454,120609417,2012-03-11,21:53,34.0981,-118.3158
3459,120609934,2012-03-17,02:30,34.1016,-118.3267
3464,120612288,2012-04-20,20:35,34.0836,-118.3051
3465,120608984,2012-03-06,20:00,34.0896,-118.3092
3473,120609162,2012-03-09,14:15,34.0981,-118.3136
3480,120609195,2012-03-09,23:30,34.1053,-118.318
3489,120611731,2012-04-13,18:40,34.0928,-118.3136
3498,120610375,2012-03-25,02:30,34.1122,-118.3352
3501,120610134,2012-03-22,13:51,34.0981,-118.3158
3507,120615525,2012-06-05,05:00,34.0899,-118.3078
3512,120614825,2012-05-25,17:45,34.0908,-118.3092
3517,120612904,2012-04-29,02:00,34.1017,-118.318
3526,120616678,2012-06-22,20:00,34.1017,-118.318
3529,120614999,2012-05-28,01:40,34.1122,-118.3346
3534,120616415,2012-06-19,06:20,34.1053,-118.329
3537,120615813,2012-06-08,17:00,34.0908,-118.3046
3540,120614991,2012-05-28,01:25,34.1017,-118.3158
3542,120614224,2012-05-17,15:05,34.0981,-118.3092
3547,120614634,2012-05-23,11:45,34.1122,-118.3352
3551,120613924,2012-05-13,12:33,34.1053,-118.324
3552,120616049,2012-06-12,23:00,34.1086,-118.3236
3554,120614612,2012-05-21,18:30,34.0948,-118.3157
3556,120616086,2012-06-14,02:00,34.1053,-118.318
3559,120613800,2012-05-12,01:40,34.1017,-118.3245
3570,120615571,2012-06-03,13:55,34.0981,-118.3158
3572,120616771,2012-06-23,23:35,34.0863,-118.3005
3576,120616000,2012-06-11,12:21,34.1042,-118.3224
3587,120616305,2012-06-17,14:30,34.1016,-118.3267
3592,120615521,2012-06-04,18:40,34.1053,-118.318
3595,120613517,2012-05-08,07:15,34.1005,-118.3148
3597,120615895,2012-06-10,17:45,34.104,-118.3297
3600,120615418,2012-06-03,14:30,34.0981,-118.3092
3611,120616159,2012-06-14,23:59,34.1063,-118.3362
3613,120615097,2012-05-29,16:00,34.0876,-118.3091
3625,120613548,2012-05-08,23:30,34.104,-118.3297
3629,120616473,2012-06-20,11:30,34.0981,-118.319
3630,120616058,2012-06-13,13:45,34.1053,-118.318
3632,120616363,2012-06-18,17:10,34.1043,-118.3224
3636,120613469,2012-05-07,12:30,34.1075,-118.3307
3637,120616808,2012-06-24,20:40,34.1053,-118.329
3640,120614184,2012-05-16,23:35,34.1053,-118.329
3644,120615464,2012-06-03,11:15,34.0981,-118.3136
3649,120613990,2012-05-14,13:30,34.1005,-118.3115
3652,120612972,2012-05-01,09:05,34.1121,-118.3331
3654,120613369,2012-05-06,00:05,34.1017,-118.3224
3660,120615533,2012-06-05,04:55,34.0899,-118.3078
3662,120615636,2012-06-06,01:30,34.1038,-118.3267
3666,120615276,2012-06-01,01:30,34.104,-118.3297
3670,120613257,2012-05-05,12:15,34.0908,-118.3046
3675,120615970,2012-06-11,16:14,34.0885,-118.3092
3681,120616994,2012-06-27,06:50,34.0908,-118.3092
3683,120614909,2012-05-26,03:15,34.1017,-118.318
3684,120615067,2012-05-28,23:00,34.1053,-118.3252
3688,120616120,2012-06-14,13:00,34.1053,-118.318
3689,120613503,2012-05-07,21:15,34.0981,-118.3136
3695,120613692,2012-05-10,18:35,34.1017,-118.3136
3696,120612968,2012-05-01,09:10,34.0956,-118.3092
3698,120614533,2012-05-22,08:00,34.095,-118.307
3703,120616784,2012-06-23,23:55,34.1017,-118.3158
3704,120618919,2012-06-02,20:00,34.0868,-118.3078
3707,120615007,2012-05-28,05:25,34.0836,-118.3005
3712,120613804,2012-05-12,00:15,34.0856,-118.3005
3714,120615498,2012-06-04,13:05,34.0939,-118.3092
3715,120616835,2012-06-24,22:15,34.0885,-118.3092
3728,120614092,2012-05-15,21:00,34.0993,-118.3166
3729,120616471,2012-06-20,13:00,34.0948,-118.3136
3738,120614622,2012-05-23,08:35,34.1053,-118.3158
3739,120615177,2012-05-30,13:30,34.0836,-118.3016
3740,120614183,2012-05-16,21:25,34.0836,-118.3051
3742,120614416,2012-05-19,17:30,34.1112,-118.3358
3743,120615967,2012-06-11,21:40,34.104,-118.318
3744,120615452,2012-06-03,10:30,34.1053,-118.329
3748,120615465,2012-06-03,21:15,34.1053,-118.3229
3750,120615888,2012-06-10,01:05,34.0876,-118.3091
3752,120613803,2012-05-12,02:45,34.1075,-118.3307
3754,120613259,2012-05-05,12:15,34.0908,-118.3046
3758,120615336,2012-06-01,23:40,34.1017,-118.3224
3766,120613402,2012-05-06,02:30,34.104,-118.3297
3771,120614610,2012-05-22,09:05,34.1053,-118.3252
3772,120613989,2012-05-14,06:45,34.1267,-118.3437
3773,120616487,2012-06-20,22:10,34.0867,-118.3091
3783,120614409,2012-05-20,02:00,34.0876,-118.3091
3786,120613180,2012-05-04,19:50,34.0867,-118.3091
3790,120613693,2012-05-10,19:00,34.1121,-118.3331
3793,120614521,2012-05-16,10:30,34.0908,-118.3092
3804,120616897,2012-06-25,19:10,34.1112,-118.3358
3810,120614637,2012-05-23,18:10,34.0908,-118.3092
3812,120615004,2012-05-20,00:01,34.1098,-118.33
3814,120614286,2012-05-17,23:10,34.1126,-118.3333
3819,120612940,2012-04-30,22:45,34.094,-118.3046
3823,120613496,2012-05-07,18:50,34.1017,-118.318
3826,120615667,2012-06-06,14:00,34.1053,-118.318
3828,120618329,2012-06-08,09:50,34.0981,-118.318
3830,120616769,2012-06-23,23:35,34.0863,-118.3005
3831,120615363,2012-06-02,02:45,34.0885,-118.3092
3834,120616199,2012-06-14,20:55,34.1054,-118.3137
3836,120613272,2012-05-04,10:30,34.1112,-118.3358
3842,120615064,2012-05-29,02:05,34.0885,-118.3092
3845,120615915,2012-06-11,01:15,34.1039,-118.3317
3846,120616971,2012-06-25,17:30,34.0908,-118.3092
3848,120616237,2012-06-16,16:20,34.0908,-118.3092
3852,120615574,2012-06-05,17:45,34.0956,-118.3092
3853,120615621,2012-06-06,10:05,34.0908,-118.306
3857,120614461,2012-05-20,23:15,34.1053,-118.3213
3864,120616026,2012-06-12,22:10,34.1017,-118.3136
3868,120614421,2012-05-20,04:40,34.0981,-118.3158
3869,120613398,2012-05-06,14:45,34.0908,-118.3025
3872,120615183,2012-05-30,21:30,34.0981,-118.3136
3881,120616428,2012-06-19,20:00,34.1055,-118.3267
3882,120616662,2012-06-22,16:35,34.119,-118.3414
3887,120615370,2012-06-01,23:00,34.0949,-118.3104
3888,120615450,2012-06-03,14:25,34.0981,-118.3092
4820,120909204,2012-04-05,17:50,34.1721,-118.4662
